Species_measured,Terminal_name,N,Size,Error,References
Clypeolampas_ovatus,Clypeolampas_ovatus,4,4.94920907852109,0.0018368242091269529,"Kier (1966) - Cassiduloids. In: Treatise on Invertebrate Paleontology - Echinodermata 3, 2; NHM; NMNH Paleobiology; The Echinoid Directory"
Clypeus_plotii,Clypeus_plotii,34,5.186175646685331,7.821334676690457e-5,"Barras (2006) - British Jurassic irregular echinoids; Cotteau (1869) - Echinides du d‚partement de la Sarthe: consid‚r‚s au point de vue zoologique et stratigraphique; Kier (1962) - Revision of the cassiduloid echinoids; M'Coy (1848) - On some new Mesozoic Radiata; NMNH Paleobiology; The Echinoid Directory; Wright (1857) - Monograph on the British fossil Echinodermata of the oolitic formations; YPM Invertebrate Paleontology; Zuidema - Fossiele zee-egels van West-Europa, een overzicht van de belangrijkste soorten"
Coelopleurus_equis,Coelopleurus,20,3.4406126973771647,0.0013107412849123438,"Carrasco & Farr‚s (2001) - Excepcional hallazgo de fases juveniles de Coelopleurus coronalis (Echinoidea) en el Eoceno de Vic (Barcelona); Duncan & Sladen (1884) - Fossil Echinoidea of Sind collected by the Geological Survey of India; Reguant et al. (1970) - Echinides de l'Eocene moyen de la r‚gion de Vi (Barcelone); The Echinoid Directory; Zuidema - Fossiele zee-egels van West-Europa, een overzicht van de belangrijkste soorten"
Coenholectypus_macropygus,Coenholectypus_macropygus,84,3.4099691677408135,3.3190137546558354e-9,"Abdelhady (2007) - Stratigraphical and paleontological studies on the Upper Cretaceous Strata, North Wadi Qena, Eastern Desert, Egypt; Abdelhamid (2014) - Middle-upper Cenomanian echinoids from north Wadi Qena, North Eastern Desert, Egypt; Castro Manso & Costa Lemos (2008) - Os Echinoidea (Echinodermata) da localidade Catete Velho I (Cret ceo) em Serpige, Nordeste do Brasil; Cooke (1955) - Some Cretaceous echinoids from the Americas; Cotteau (1869) - Echinides du d‚partement de la Sarthe: consid‚r‚s au point de vue zoologique et stratigraphique; El Qot (2010) - Upper Cretaceous echinoids from Galala Plateaux, North Eastern Desert, Egypt; Gallem¡ Paulet (1992) - Los yacimientos con equ¡nidos del Cret cico Superior del Prepirineo de la provincia de Lleida; Kier (1974) - Evolutionary trends and their functional significance in the postP echinoids; MCZ Invertebrate Paleontology; NMNH Paleobiology; Savin (1905) - R‚vision des ‚chinid‚s fossiles du d‚partement de l'IsŠre; The Echinoid Directory; Villalba Curras (1993) - Revision de los equinidos del Cretacico Inferior y Medio espanol; Villalba Curras (2002) - Los equ¡nidos irregulares de la provincia de Castell¢n; Zuidema - Fossiele zee-egels van West-Europa, een overzicht van de belangrijkste soorten"
Collyrites_ellipticus,Collyrites_ellipticus,27,4.181612263628038,0.002444438192312417,"Cotteau (1869) - Echinides du d‚partement de la Sarthe: consid‚r‚s au point de vue zoologique et stratigraphique; D‚sor & de Loriol (1923) - Echinologie Helv‚tique: Description Des Oursins Fossiles De La Suisse; de Loriol (1890) - Description de la faune jurassique du Portugal; embranchement de ‚chinodermes; MCZ Invertebrate Paleontology; The Echinoid Directory; Zuidema - Fossiele zee-egels van West-Europa, een overzicht van de belangrijkste soorten"
Conoclypus_conoideus,Conoclypus_conoideus,23,5.750435579302418,0.0017310534060210124,"MCZ Invertebrate Paleontology; Mitrovic-Petrovic (2001) - Paleoecological features and stratigraphic significance of the genus Conoclypus (Echinoidea); Mizuk (2010) - Middle Eocene sea urchins from environs of Copi in Central Istria, Croatia; NMNH Paleobiology; The Echinoid Directory; YPM Invertebrate Paleontology; Zuidema - Fossiele zee-egels van West-Europa, een overzicht van de belangrijkste soorten"
Conulus_albogalerus,Conulus_albogalerus,54,4.301858262087717,4.362089269232691e-4,"Kier (1974) - Evolutionary trends and their functional significance in the postP echinoids; MCZ Invertebrate Paleontology; Mukherjee (2012) - A diverse invertebrate assemblage from the Upper Maastrichtian of Meghalaya and its biogeographic significance; NMNH Paleobiology; The Echinoid Directory; Van Diggelen (1989) - Krijt-zeeegels aan de Boulonnais-kust (Fr.) - De Micrasters van de Boulonnais; Wagner & Durham (1966) - Holectypoids. In: Treatise on Invertebrate Paleontology - Echinodermata 3, 2; YPM Invertebrate Paleontology; Zuidema - Fossiele zee-egels van West-Europa, een overzicht van de belangrijkste soorten"
Coraster_villanovae,Coraster_villanovae,17,3.4292596127650663,0.002470127269288279,Kroh (2001) - Echinoids from the Danian (Lower Paleocene) Bruderndorf formation of Austria; Kroh (2004) - Cottreaucorys kollmanni n. sp. (Echinodermata: Echinoidea) and other new records from the Early Paleocene Brunderndof Formation in Austria; NHM; NMNH Paleobiology; The Echinoid Directory
Corystus_disasteroides,Corystus,124,4.631641948275487,1.0548521638893394e-12,Foster & Philip (1976) - Statistical analysis of the Tertiary holasteroid Corystus disasteroides from Australasia; Foster & Philip (1978) - Tertiary holasteroid echinoids from Australia and New Zealand; NMNH Paleobiology; The Echinoid Directory
Ctenocidaris_speciosa,Ctenocidaris_speciosa,28,4.594879662914566,0.0011168507299087191,"Linse et al. (2008) - Biodiversity of echinoids and their epibionts around the Scotia Arc, Antactica; NMNH Invertebrate Zoology; The Echinoid Directory"
